article_title,url
Retrofuturism,https://en.wikipedia.org/wiki/Retrofuturism
Revivalism (architecture),https://en.wikipedia.org/wiki/Revivalism_(architecture)
Ribbon window,https://en.wikipedia.org/wiki/Ribbon_window
Romanesque architecture,https://en.wikipedia.org/wiki/Romanesque_architecture
List of regional characteristics of Romanesque churches,https://en.wikipedia.org/wiki/List_of_regional_characteristics_of_Romanesque_churches
Romanian Revival architecture,https://en.wikipedia.org/wiki/Romanian_Revival_architecture
Rundbogenstil,https://en.wikipedia.org/wiki/Rundbogenstil
Russian Baroque,https://en.wikipedia.org/wiki/Russian_Baroque
Rustic architecture,https://en.wikipedia.org/wiki/Rustic_architecture
Sand Hills cottage architecture,https://en.wikipedia.org/wiki/Sand_Hills_cottage_architecture
Schinkel school,https://en.wikipedia.org/wiki/Schinkel_school
Scottish Vernacular,https://en.wikipedia.org/wiki/Scottish_Vernacular
Second Empire style,https://en.wikipedia.org/wiki/Second_Empire_style
Shoebox style,https://en.wikipedia.org/wiki/Shoebox_style
Side passage plan architecture,https://en.wikipedia.org/wiki/Side_passage_plan_architecture
Sikh architecture,https://en.wikipedia.org/wiki/Sikh_architecture
Single- and double-pen architecture,https://en.wikipedia.org/wiki/Single-_and_double-pen_architecture
Sino-Portuguese architecture,https://en.wikipedia.org/wiki/Sino-Portuguese_architecture
Slow architecture,https://en.wikipedia.org/wiki/Slow_architecture
Songhai architecture,https://en.wikipedia.org/wiki/Songhai_architecture
Southern French Gothic,https://en.wikipedia.org/wiki/Southern_French_Gothic
Spa architecture,https://en.wikipedia.org/wiki/Spa_architecture
Spanish Colonial architecture,https://en.wikipedia.org/wiki/Spanish_Colonial_architecture
De Stijl,https://en.wikipedia.org/wiki/De_Stijl
Stile Littorio,https://en.wikipedia.org/wiki/Stile_Littorio
Stockbroker's Tudor,https://en.wikipedia.org/wiki/Stockbroker%27s_Tudor
Strawberry Hill Gothic,https://en.wikipedia.org/wiki/Strawberry_Hill_Gothic
Sudano-Sahelian architecture,https://en.wikipedia.org/wiki/Sudano-Sahelian_architecture
Suspended structure,https://en.wikipedia.org/wiki/Suspended_structure
Swahili architecture,https://en.wikipedia.org/wiki/Swahili_architecture
Swiss chalet style,https://en.wikipedia.org/wiki/Swiss_chalet_style
Traditional architecture,https://en.wikipedia.org/wiki/Traditional_architecture
Traditionalist School (architecture),https://en.wikipedia.org/wiki/Traditionalist_School_(architecture)
Tudor architecture,https://en.wikipedia.org/wiki/Tudor_architecture
Vancouver special,https://en.wikipedia.org/wiki/Vancouver_special
Visionary architecture,https://en.wikipedia.org/wiki/Visionary_architecture
Wedding-cake style,https://en.wikipedia.org/wiki/Wedding-cake_style
Western false front architecture,https://en.wikipedia.org/wiki/Western_false_front_architecture
Wooden synagogues in the Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Wooden_synagogues_in_the_Polish%E2%80%93Lithuanian_Commonwealth
Zoomorphic architecture,https://en.wikipedia.org/wiki/Zoomorphic_architecture
